1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,image,name,color,team_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,41.0,18.0,,,56.0,49.0,37.0,46.0,21.0,27.0,,,,,,,,,,,,,New Orleans Hornets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,38.0,35.0,39.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans Jazz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,39.0,,,,,,,,,,,,,,,,,,,New Orleans/Oklahoma City Hornets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,45.0,30.0,34.0,33.0,30.0,31.0,36.0,33.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/NOH.png,New Orleans Pelicans,#002D62,New Orleans Pelicans
33.0,26.0,32.0,40.0,36.0,37.0,47.0,44.0,38.0,35.0,36.0,35.0,40.0,27.0,21.0,29.0,21.0,22.0,31.0,30.0,36.0,43.0,54.0,60.0,52.0,48.0,57.0,49.0,40.0,38.0,40.0,43.0,31.0,39.0,50.0,33.0,44.0,47.0,24.0,23.0,24.0,38.0,45.0,39.0,51.0,60.0,57.0,55.0,47.0,57.0,43.0,27.0,50.0,48.0,30.0,37.0,39.0,33.0,23.0,33.0,23.0,32.0,29.0,42.0,36.0,54.0,37.0,17.0,32.0,31.0,17.0,21.0,41.0,37.0,39.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/NYK.png,New York Knicks,#F50000,New York Knicks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Nets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,50.0,55.0,47.0,60.0,59.0,45.0,55.0,47.0,49.0,44.0,22.0,24.0,32.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/OKC.png,Oklahoma City Thunder,#0072BD,Oklahoma City Thunder
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,31.0,21.0,41.0,50.0,57.0,60.0,45.0,41.0,33.0,41.0,43.0,44.0,42.0,21.0,36.0,36.0,40.0,52.0,59.0,59.0,52.0,37.0,20.0,23.0,25.0,35.0,29.0,42.0,33.0,21.0,22.0,28.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/ORL.png,Orlando Magic,#007DC7,Orlando Magic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,31.0,28.0,49.0,56.0,43.0,48.0,33.0,43.0,38.0,35.0,40.0,41.0,27.0,41.0,35.0,34.0,19.0,18.0,10.0,28.0,51.0,43.0,49.0,51.0,45.0,https://cdn.ssref.net/req/202301032/tlogo/bbr/PHI.png,Philadelphia 76ers,#006BB6,Philadelphia 76ers
,,,,,,,,,,,,,,,,,34.0,40.0,55.0,68.0,62.0,55.0,42.0,47.0,30.0,9.0,25.0,34.0,46.0,50.0,55.0,47.0,59.0,62.0,58.0,65.0,52.0,58.0,54.0,45.0,36.0,53.0,44.0,35.0,26.0,25.0,24.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia 76ers
